"lb_name";"lb_code";"ward_code";"ward_name";"ward_area_hectare";"green_area_hectare";"blue_area_hectare";"green_blue_area_hectare";"percent_green";"percent_blue";"percent_green_blue"
"Kensington and Chelsea";"E09000020";"E05009399";"Notting Dale";55.688;14.8367;0.00166469;14.8383;26.6425;0.00298931;26.6455
"Kensington and Chelsea";"E09000020";"E05009400";"Pembridge";38.656;11.8142;0.00247647;11.8167;30.5625;0.00640643;30.5689
"Kensington and Chelsea";"E09000020";"E05009401";"Queens Gate";58.218;10.5584;0.0;10.5584;18.1359;0.0;18.1359
"Kensington and Chelsea";"E09000020";"E05009402";"Redcliffe";71.854;29.7067;0.00765537;29.7143;41.3431;0.0106541;41.3537
"Kensington and Chelsea";"E09000020";"E05009403";"Royal Hospital";101.214;29.6934;10.2431;39.9365;29.3373;10.1203;39.4575
"Kensington and Chelsea";"E09000020";"E05009404";"St. Helens";47.822;15.7477;0.00418032;15.7519;32.9298;0.00874142;32.9385
"Kensington and Chelsea";"E09000020";"E05009405";"Stanley";72.424;15.9892;0.0563874;16.0455;22.0772;0.0778573;22.155
"Southwark";"E09000028";"E05011095";"Borough & Bankside";119.577;11.2817;16.8294;28.111;9.43466;14.0741;23.5087
"Southwark";"E09000028";"E05011096";"Camberwell Green";92.752;20.3998;0.0;20.3998;21.9939;0.0;21.9939
"Southwark";"E09000028";"E05011097";"Champion Hill";105.054;50.1547;0.0;50.1547;47.7419;0.0;47.7419
"Southwark";"E09000028";"E05011098";"Chaucer";75.06;22.2567;0.0136247;22.2704;29.6519;0.0181518;29.6701
"Southwark";"E09000028";"E05011099";"Dulwich Hill";99.851;43.3402;0.00518971;43.3454;43.4049;0.00519746;43.4101
"Southwark";"E09000028";"E05011100";"Dulwich Village";261.997;163.815;2.2674;166.082;62.5255;0.86543;63.3909
"Southwark";"E09000028";"E05011101";"Dulwich Wood";301.593;213.13;0.875742;214.006;70.6681;0.290372;70.9584
